date,item,client_id,warehouse_id,item_descriptions,unit,init_stock,init_in,init_out,init_weight,current_stock,current_in,current_out,current_weight
9/22/23 12:00 AM,1040608013,003-00-00002-000,003,SG PREMIUM SAUSAGE GARLIC 300 G,12,null,null,null,null,null,null,null,54.4309
9/22/23 12:00 AM,1040608014,003-00-00002-000,003,SG PREMIUM SAUSAGE HONEY 300 G,12,null,null,null,null,null,null,null,123.3767
9/22/23 12:00 AM,1040608016,003-00-00002-000,003,SG PREMIUM SAUSAGE SMOKE BRATWURST 300 G,12,null,null,null,null,null,null,null,48.9878
9/22/23 12:00 AM,1040608017,003-00-00002-000,003,SG CRISPY NUGGET 400G,12,null,null,null,null,null,null,null,179.1684
9/22/23 12:00 AM,1040610001,003-00-00002-000,003,SG - EBI PANKO (18X10) @ 180 GR,18,null,null,null,null,null,null,null,730.7351
9/22/23 12:00 AM,1040610002,003-00-00002-000,003,SG - SHUMAI FURAI@180 GR,24,null,null,null,null,null,null,null,408.2319
9/22/23 12:00 AM,1040610004,003-00-00002-000,003,SG - GOLDEN MONEYBAG@144 GR,20,null,null,null,null,null,null,null,163.2927
9/22/23 12:00 AM,1040610005,003-00-00002-000,003,SG - PANGSIT UDANG 84 GR,48,null,null,null,null,null,null,null,114.3049
9/22/23 12:00 AM,1040610011,003-00-00002-000,003,SG - FISH NUGGET 300 GRAM,12,null,null,null,null,null,null,null,75.1147
9/22/23 12:00 AM,1040613002,003-00-00002-000,003,SO GOOD PAHA DAN DADA AYAM PACK 450g,12,null,null,null,null,null,null,null,854.8375
9/22/23 12:00 AM,1040613303,003-00-00002-000,003,SO GOOD AYAM UTUH POTONG 10 6X1 KG,6,null,null,null,null,null,null,null,1635.649
9/22/23 12:00 AM,1040613304,003-00-00002-000,003,SO GOOD PAHA DAN DADA AYAM PACK 6x1KG,6,null,null,null,null,null,null,null,299.37
9/22/23 12:00 AM,1040614001,003-00-00002-000,003,SG PAHA DADA PEDAS MANIS 450 G,12,null,null,null,null,null,null,null,91.6254
9/22/23 12:00 AM,1040614002,003-00-00002-000,003,SG PAHA DADA BUMBU KUNING 450 G,12,null,null,null,null,null,null,null,48.9878
9/22/23 12:00 AM,1041063016,003-00-00002-000,003,Toba Tilapia White Fish Fillet 340gr,26,null,null,null,null,null,null,null,23.1331
9/22/23 12:00 AM,1041063017,003-00-00002-000,003,Toba Tilapia White Fish Loins 400gr,26,null,null,null,null,null,null,null,32.6585
9/22/23 12:00 AM,1041063018,003-00-00002-000,003,Tilapia C-1 500x30,30,null,null,null,null,null,null,null,514.3722
9/22/23 12:00 AM,1041070020,003-00-00002-000,003,Eby Fry 2L (285 GR) 14 x 10,10,null,null,null,null,null,null,null,77.8362
9/22/23 12:00 AM,1041080001,003-00-00002-000,003,SEAFOOD LOVERS OTAK OTAK,24,null,null,null,null,null,null,null,81.6464
9/22/23 12:00 AM,1041080002,003-00-00002-000,003,SEAFOOD LOVERS OTAK OTAK SINGAPORE,24,null,null,null,null,null,null,null,171.4574
9/22/23 12:00 AM,1041080003,003-00-00002-000,003,Seafood Lovers Pempek,24,null,null,null,null,null,null,null,81.6464
9/22/23 12:00 AM,1041080004,003-00-00002-000,003,Seafood Lovers Siomay,24,null,null,null,null,null,null,null,108.8618
9/22/23 12:00 AM,1041080005,003-00-00002-000,003,SEAFOOD LOVERS SIOMAY UDANG,24,null,null,null,null,null,null,null,484.4352
9/22/23 12:00 AM,1041080006,003-00-00002-000,003,Seafood Lovers Bakso Ikan Pedas,24,null,null,null,null,null,null,null,81.6464
9/22/23 12:00 AM,1041080007,003-00-00002-000,003,Seafood Lovers Bakso Ikan Premium,24,null,null,null,null,null,null,null,108.8618
9/22/23 12:00 AM,1041080008,003-00-00002-000,003,Seafood Lovers Bakso Udang,24,null,null,null,null,null,null,null,370.1302
9/22/23 12:00 AM,1041080009,003-00-00002-000,003,SEAFOOD LOVERS SHRIMP POPCORN,24,null,null,null,null,null,null,null,238.6251
9/22/23 12:00 AM,1041080011,003-00-00002-000,003,Seafood Lovers Bakso Ikan 24X250g,24,null,null,null,null,null,null,null,76.2033
9/22/23 12:00 AM,1041080014,003-00-00002-000,003,Shrimp Tempura (32) 15 pack x 240 g),15,null,null,null,null,null,null,null,40.7325
9/22/23 12:00 AM,1041080015,003-00-00002-000,003,Shrimp Tempura (32) 7 pcs x 15 pack (PROMO),7,null,null,null,null,null,null,null,21.7724
9/22/23 12:00 AM,1041081001,003-00-00002-000,003,Udang Kupas Premium,25,null,null,null,null,null,null,null,408.2319
9/22/23 12:00 AM,1041082003,003-00-00002-000,003,FISH FILLETS 400 G (08),24,null,null,null,null,null,null,null,818.641
9/22/23 12:00 AM,1041082004,003-00-00002-000,003,PANGASIUS FILLET 1 KG (3C),10,null,null,null,null,null,null,null,9.0718
9/22/23 12:00 AM,1041082005,003-00-00002-000,003,Pangasius Fillet 1kg (4C),10,null,null,null,null,null,null,null,272.1546
9/22/23 12:00 AM,1041082006,003-00-00002-000,003,Pangasius Fillet 1kg (5C),10,null,null,null,null,null,null,null,226.7955
9/22/23 12:00 AM,1041082007,003-00-00002-000,003,PANGASIUS FILLET GOLD,24,null,null,null,null,null,null,null,18.1436
9/22/23 12:00 AM,1041082009,003-00-00002-000,003,Sakana Fry (30 Gr) 36 x 8,8,null,null,null,null,null,null,null,40.8232
9/22/23 12:00 AM,1041082011,003-00-00002-000,003,PANGASIUS FILLET SKIN ON 46X215 G,46,null,null,null,null,null,null,null,4.5359
9/22/23 12:00 AM,1041082012,003-00-00002-000,003,KEPALA SALMON (32) 3 PCS x 14 PACK,14,null,null,null,null,null,null,null,4.5359
9/22/23 12:00 AM,1041082014,003-00-00002-000,003,Pangasius  Fillet  BL C 500 gr isi 3,20,null,null,null,null,null,null,null,6.8039
9/22/23 12:00 AM,1041082015,003-00-00002-000,003,Pangasius Fillet NBL 1kg (3C),10,null,null,null,null,null,null,null,362.8728
9/22/23 12:00 AM,1041082019,003-00-00002-000,003,Fish Bites 1 kg x 9 pack,9,null,null,null,null,null,null,null,14.0613
9/22/23 12:00 AM,1041082022,003-00-00002-000,003,PANGASIUS FILLET BL 1KG(5E) POLOS 10PACK,10,null,null,null,null,null,null,null,9.0718
9/22/23 12:00 AM,1041301001,003-00-00002-000,003,Unagi Kabayaki 75 Gr,65,null,null,null,null,null,null,null,54.4309
9/22/23 12:00 AM,1041301002,003-00-00002-000,003,Unagi Kabayaki 100 gr,50,null,null,null,null,null,null,null,27.2155
9/22/23 12:00 AM,1041301003,003-00-00002-000,003,UNAGI KABAYAKI 200gr,25,null,null,null,null,null,null,null,45.3591
9/22/23 12:00 AM,1060501001,003-00-00002-000,003,SN SOSIS PREMIUM ORIGINAL 8X10X60 G,8,null,null,null,null,null,null,null,96.1613
9/22/23 12:00 AM,1060501002,003-00-00002-000,003,SN SOSIS PREMIUM BRATWURST 8X10X60 G,8,null,null,null,null,null,null,null,96.1613
9/22/23 12:00 AM,1060501003,003-00-00002-000,003,SN SOSIS PREMIUM CHEESE 8X10X60 G,8,null,null,null,null,null,null,null,96.1613
